date,sst_anomaly
2021-09-01,-0.21762767500000002
2021-10-01,-0.670856075
2021-11-01,-0.6891876625
2021-12-01,-0.9704029375000001
2022-01-01,-0.7502022375
2022-02-01,-0.6488427875
2022-03-01,-0.7790385
2022-04-01,-0.8045435875
2022-05-01,-0.8975905375
2022-06-01,-0.46907195
2022-07-01,-0.4882957375
2022-08-01,-0.8936379249999999
2022-09-01,-0.8780754500000001
2022-10-01,-0.710326325
2022-11-01,-0.7633475125
2022-12-01,-0.752600275
2023-01-01,-0.5968655374999999
2023-02-01,-0.39498725
2023-03-01,0.10234099999999999
2023-04-01,0.373922375
2023-05-01,0.6496665875
2023-06-01,1.1254671875
2023-07-01,1.236386725
2023-08-01,1.4212942625
2023-09-01,1.640548275
2023-10-01,1.739804775
2023-11-01,2.1016279375
2023-12-01,2.1056473500000004
2024-01-01,1.8943680125
2024-02-01,1.6316772375000002
2024-03-01,1.3672259624999998
2024-04-01,1.02408535
2024-05-01,0.44039412499999997
2024-06-01,0.4110574875
2024-07-01,0.32595491249999997
2024-08-01,0.0266355
2024-09-01,-0.20315855
2024-10-01,-0.198982475
2024-11-01,0.0751826875
2024-12-01,-0.5343885875
